"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,26930,3524.93,"simulated",83271,0.323401904624659,0.130892313405124
"2",0.02,26142,3596.19,"simulated",83271,0.313938826242029,0.137563690612807
"3",0.03,25154,3658.3,"simulated",83271,0.302073951315584,0.14543611354059
"4",0.04,24303,3730.64,"simulated",83271,0.291854307021652,0.15350532856026
"5",0.05,22548,3743.15,"simulated",83271,0.270778542349678,0.166008071669328
"6",0.06,20830,3731.31,"simulated",83271,0.250147110038309,0.179131541046567
"7",0.07,20174,3780.51,"simulated",83271,0.242269217374596,0.187395162089819
"8",0.08,19407,3827.8,"simulated",83271,0.233058327629067,0.197238109960324
"9",0.09,17130,3716.6,"simulated",83271,0.205713873977735,0.216964389959136
"10",0.1,16434,3736.88,"simulated",83271,0.19735562200526,0.227387124254594
"11",0.11,16077,3786.38,"simulated",83271,0.193068415174551,0.235515332462524
"12",0.12,15754,3840.1,"simulated",83271,0.18918951375629,0.243753967246414
"13",0.13,14945,3821.06,"simulated",83271,0.179474246736559,0.255674807627969
"14",0.14,14774,3883.96,"simulated",83271,0.177420710691597,0.26289156626506
"15",0.15,14505,3929.04,"simulated",83271,0.174190294340166,0.27087487073423
"16",0.16,14372,3994.45,"simulated",83271,0.17259309963853,0.277932785972725
"17",0.17,14034,4021.84,"simulated",83271,0.168534063479483,0.286578309819011
"18",0.18,13829,4069.19,"simulated",83271,0.166072222022073,0.294250488104707
"19",0.19,13674,4123.84,"simulated",83271,0.164210829700616,0.301582565452684
"20",0.2,13523,4180.09,"simulated",83271,0.162397473310036,0.309109665015159
"21",0.21,13092,4173.08,"simulated",83271,0.157221601758115,0.318750381912618
"22",0.22,12857,4203.78,"simulated",83271,0.154399490819133,0.326964299603329
"23",0.23,12715,4252.92,"simulated",83271,0.152694215273024,0.334480534801416
"24",0.24,12610,4310.5,"simulated",83271,0.151433272087521,0.341831879460745
"25",0.25,12357,4328.35,"simulated",83271,0.148394999459596,0.350275147689569
"26",0.26,12278,4388.99,"simulated",83271,0.147446289824789,0.357467828636586
"27",0.27,12170,4440.51,"simulated",83271,0.146149319691129,0.364873459326212
"28",0.28,12089,4502.3,"simulated",83271,0.145176592090884,0.372429481346679
"29",0.29,10509,4113.61,"simulated",83271,0.126202399394747,0.391436863640689
"30",0.3,10410,4153.8,"simulated",83271,0.125013510105559,0.399020172910663
"31",0.31,10174,4148.66,"simulated",83271,0.122179390183858,0.407770788283861
"32",0.32,10083,4189.97,"simulated",83271,0.121086572756422,0.415547951998413
"33",0.33,9444,4043.8,"simulated",83271,0.113412832798934,0.428187208809826
"34",0.34,9348,4075.52,"simulated",83271,0.112259970457903,0.435977749251177
"35",0.35,9229,4097.71,"simulated",83271,0.110830901514333,0.444003684039441
"36",0.36,9114,4122.54,"simulated",83271,0.109449868501639,0.452330480579329
"37",0.37,8359,3902.27,"simulated",83271,0.100383086548738,0.466834549587271
"38",0.38,8275,3929.05,"simulated",83271,0.0993743320003363,0.474809667673716
"39",0.39,8227,3968.87,"simulated",83271,0.0987979008298207,0.482420080223654
"40",0.4,8157,4001.07,"simulated",83271,0.0979572720394855,0.490507539536594
