"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",518,0.01,78,18.51,0.150579150579151,0.237307692307692
"2",518,0.02,77,18.74,0.148648648648649,0.243376623376623
"3",518,0.03,75,18.92,0.144787644787645,0.252266666666667
"4",518,0.04,73,19.08,0.140926640926641,0.261369863013699
"5",518,0.05,72,19.31,0.138996138996139,0.268194444444444
"6",518,0.08,71,20.07,0.137065637065637,0.282676056338028
"7",518,0.09,68,20.05,0.131274131274131,0.294852941176471
"8",518,0.1,66,20.09,0.127413127413127,0.304393939393939
"9",518,0.12,66,20.58,0.127413127413127,0.311818181818182
"10",518,0.13,66,20.84,0.127413127413127,0.315757575757576
"11",518,0.15,66,21.37,0.127413127413127,0.323787878787879
"12",518,0.16,65,21.49,0.125482625482625,0.330615384615385
"13",518,0.18,65,22.06,0.125482625482625,0.339384615384615
"14",518,0.19,63,21.95,0.121621621621622,0.348412698412698
"15",518,0.2,62,22.04,0.11969111969112,0.355483870967742
"16",518,0.24,60,22.71,0.115830115830116,0.3785
"17",518,0.26,58,22.75,0.111969111969112,0.392241379310345
"18",518,0.28,57,23.03,0.11003861003861,0.404035087719298
"19",518,0.29,52,21.82,0.1003861003861,0.419615384615385
"20",518,0.3,51,21.75,0.0984555984555985,0.426470588235294
"21",518,0.32,50,21.91,0.0965250965250965,0.4382
"22",518,0.33,48,21.48,0.0926640926640927,0.4475
"23",518,0.34,47,21.38,0.0907335907335907,0.454893617021277
"24",518,0.35,46,21.27,0.0888030888030888,0.462391304347826
"25",518,0.36,45,21.17,0.0868725868725869,0.470444444444444
"26",518,0.37,35,17.63,0.0675675675675676,0.503714285714286
"27",518,0.38,34,17.4,0.0656370656370656,0.511764705882353
"28",518,0.4,33,17.33,0.0637065637065637,0.525151515151515
"29",518,0.41,30,16.26,0.0579150579150579,0.542
"30",518,0.42,29,16,0.055984555984556,0.551724137931034
"31",518,0.43,29,16.16,0.055984555984556,0.557241379310345
"32",518,0.44,28,15.88,0.0540540540540541,0.567142857142857
"33",518,0.47,28,16.36,0.0540540540540541,0.584285714285714
"34",518,0.48,27,16.04,0.0521235521235521,0.594074074074074
"35",518,0.49,26,15.71,0.0501930501930502,0.604230769230769
"36",518,0.5,26,15.87,0.0501930501930502,0.610384615384615
"37",518,0.51,25,15.51,0.0482625482625483,0.6204
"38",518,0.57,24,15.84,0.0463320463320463,0.66
"39",518,0.6,22,15.07,0.0424710424710425,0.685
"40",518,0.63,21,14.82,0.0405405405405405,0.705714285714286
"41",518,0.64,19,13.66,0.0366795366795367,0.718947368421053
"42",518,0.68,18,13.46,0.0347490347490347,0.747777777777778
"43",518,0.69,18,13.59,0.0347490347490347,0.755
"44",518,0.73,16,12.63,0.0308880308880309,0.789375
"45",518,0.74,15,11.99,0.028957528957529,0.799333333333333
"46",518,0.78,14,11.6,0.027027027027027,0.828571428571429
"47",518,0.8,13,10.99,0.0250965250965251,0.845384615384616
"48",518,0.83,13,11.3,0.0250965250965251,0.869230769230769
"49",518,0.86,13,11.64,0.0250965250965251,0.895384615384615
"50",518,0.91,13,12.24,0.0250965250965251,0.941538461538462
"51",518,1.16,12,14.07,0.0231660231660232,1.1725
"52",518,1.19,11,13.2,0.0212355212355212,1.2
"53",518,1.2,10,12.1,0.0193050193050193,1.21
"54",518,1.26,9,11.43,0.0173745173745174,1.27
"55",518,1.27,7,8.96,0.0135135135135135,1.28
"56",518,1.44,6,8.7,0.0115830115830116,1.45
"57",518,1.78,5,8.95,0.00965250965250965,1.79
"58",518,2.07,4,8.32,0.00772200772200772,2.08
"59",518,3.32,3,9.99,0.00579150579150579,3.33
"60",518,3.4,2,6.82,0.00386100386100386,3.41
"61",518,3.53,1,3.54,0.00193050193050193,3.54
